Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,40.0,1.0,40.0,40.0,0.1,19.50600000000002,0.0,0.0,0.0054645538330078125,,,,,,,,,,,,,,,,,,,,,5.921939595629597,6.421915847958834,19.307718545547367,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,87.0,2.0,47.0,87.0,0.1,25.50600000000002,0.0,0.0,4.415584564208984,,,,,,,,,,,,,,,,,,,,,8.191333200292437,8.390523711912884,25.171324817897233,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,137.0,3.0,50.0,137.0,0.1,23.706000000000024,0.0,0.0,9.255436897277832,,,,,,,,,,,,,,,,,,,,,7.312580484970102,7.4746620160697494,23.38712183229425,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,169.0,4.0,32.0,169.0,0.1,14.306999999999993,0.0,0.0,12.365672588348389,,,,,,,,,,,,,,,,,,,,,4.099182365057661,4.825174773729128,14.204220400899555,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,217.0,5.0,48.0,217.0,0.1,24.507000000000023,0.0,0.0,16.83022975921631,,,,,,,,,,,,,,,,,,,,,7.619145820079822,7.957108315165281,24.18963608316642,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,244.0,6.0,27.0,244.0,0.1,13.604999999999995,0.0,0.0,19.510779857635498,,,,,,,,,,,,,,,,,,,,,4.341985003256069,4.729153953379079,13.514782455039713,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,274.0,7.0,30.0,274.0,0.1,15.604999999999995,0.0,0.0,22.669493675231934,,,,,,,,,,,,,,,,,,,,,5.074801372356777,5.342277308892153,15.483707890903213,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,354.0,8.0,80.0,354.0,0.1,50.112999999999985,0.0,0.0,29.843158960342407,,,,,,,,,,,,,,,,,,,,,16.720345894308895,16.47689613373925,48.873069594574844,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,394.0,9.0,40.0,394.0,0.1,16.609000000000016,0.0,0.0,33.641664266586304,,,,,,,,,,,,,,,,,,,,,4.4303706525197954,5.39657481602652,16.46469810541193,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,436.0,10.0,42.0,436.0,0.1,20.30800000000002,0.0,0.0,37.628821849823,,,,,,,,,,,,,,,,,,,,,6.121687470499423,6.657173385339168,20.09105113746281,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,487.0,11.0,51.0,487.0,0.1,25.30700000000002,0.0,0.0,42.34228706359863,,,,,,,,,,,,,,,,,,,,,8.234571389922024,7.946762701635955,24.93688569361551,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,519.0,12.0,32.0,519.0,0.1,14.707999999999993,0.0,0.0,45.71025729179382,,,,,,,,,,,,,,,,,,,,,4.224670371002982,5.020952576682851,14.60199994602,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,547.0,13.0,28.0,547.0,0.1,12.606999999999994,0.0,0.0,48.486634254455566,,,,,,,,,,,,,,,,,,,,,3.670950163517234,4.341011358150633,12.529259384931999,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,606.0,14.0,59.0,606.0,0.1,17.608000000000025,0.0,0.0,53.87896013259888,,,,,,,,,,,,,,,,,,,,,4.173043079491049,4.919328350438193,17.396566194132095,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,643.0,15.0,37.0,643.0,0.1,19.20800000000002,0.0,0.0,57.44753313064575,,,,,,,,,,,,,,,,,,,,,5.9175419099254585,6.554604792412719,19.027086094435543,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,670.0,16.0,27.0,670.0,0.1,12.105999999999995,0.0,0.0,60.4763400554657,,,,,,,,,,,,,,,,,,,,,3.6031998884306993,4.146912050514798,12.032767104454177,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,708.0,17.0,38.0,708.0,0.1,19.30700000000002,0.0,0.0,64.109548330307,,,,,,,,,,,,,,,,,,,,,5.9369542956822565,6.491645467014697,19.11961584884592,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,763.0,18.0,55.0,763.0,0.1,25.007000000000037,0.0,0.0,69.16860127449036,,,,,,,,,,,,,,,,,,,,,6.916714386560063,7.951450624379395,24.675907848528407,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,797.0,19.0,34.0,797.0,0.1,17.606000000000016,0.0,0.0,72.45589256286621,,,,,,,,,,,,,,,,,,,,,5.6526885369938995,5.937324712418821,17.448688518089877,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,840.0,20.0,43.0,840.0,0.1,24.40700000000002,0.0,0.0,76.52041101455688,,,,,,,,,,,,,,,,,,,,,7.921414366660997,8.282417898760176,24.114584236121583,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,59.0,1.0,59.0,899.0,0.1,33.108,0.0,0.0,164.0417628288269,,,,,,,,,,,,,,,,,,,,,10.63849751722735,10.788078793754897,32.545386874846415,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,207.0,2.0,148.0,1047.0,0.1,86.40600000000003,0.0,0.0,177.21709656715393,,,,,,,,,,,,,,,,,,,,,37.4737245798635,22.584436177083408,81.02185144321521,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,241.0,3.0,34.0,1081.0,0.1,13.407999999999992,0.0,0.0,180.79080772399902,,,,,,,,,,,,,,,,,,,,,3.5982984374522204,4.376882385294759,13.312269079015579,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,273.0,4.0,32.0,1113.0,0.1,17.606000000000016,0.0,0.0,183.9715256690979,,,,,,,,,,,,,,,,,,,,,5.784853498904753,6.098801335656893,17.455778789835932,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,374.0,5.0,101.0,1214.0,0.1,51.10700000000001,0.0,0.0,193.09635400772095,,,,,,,,,,,,,,,,,,,,,20.683971528320075,15.02508390765634,49.116101963464644,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,418.0,6.0,44.0,1258.0,0.1,14.209999999999988,0.0,0.0,197.2918758392334,,,,,,,,,,,,,,,,,,,,,3.3302418134601393,4.299566947231769,14.091638545660533,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,458.0,7.0,40.0,1298.0,0.1,23.40500000000002,0.0,0.0,201.37989592552185,,,,,,,,,,,,,,,,,,,,,7.886225179653676,7.95523092277114,23.13579945592625,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,547.0,8.0,89.0,1387.0,0.1,54.20500000000002,0.0,0.0,209.46544408798218,,,,,,,,,,,,,,,,,,,,,19.905293936580406,15.786461726479043,52.53845320760636,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,636.0,9.0,89.0,1476.0,0.1,60.705,0.0,0.0,217.5815577507019,,,,,,,,,,,,,,,,,,,,,23.644953880795303,18.160236295460813,58.71797633931151,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,709.0,10.0,73.0,1549.0,0.1,45.106,0.0,0.0,224.25592803955078,,,,,,,,,,,,,,,,,,,,,16.85265923936902,14.142185635103882,43.96363919026741,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,756.0,11.0,47.0,1596.0,0.1,23.108000000000025,0.0,0.0,228.69437670707703,,,,,,,,,,,,,,,,,,,,,6.858022234301917,7.560882932864603,22.831312749173406,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,845.0,12.0,89.0,1685.0,0.1,60.50599999999999,0.0,0.0,237.01926851272583,,,,,,,,,,,,,,,,,,,,,24.37680155663541,18.266615429410795,58.45331283381426,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,878.0,13.0,33.0,1718.0,0.1,16.207000000000008,0.0,0.0,240.32816886901855,,,,,,,,,,,,,,,,,,,,,4.90410089093646,5.530099674326426,16.07730319969529,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,904.0,14.0,26.0,1744.0,0.1,12.604999999999995,0.0,0.0,242.9934480190277,,,,,,,,,,,,,,,,,,,,,3.951243362128046,4.3793418604389664,12.527309764804517,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,937.0,15.0,33.0,1777.0,0.1,15.805999999999994,0.0,0.0,246.29446363449097,,,,,,,,,,,,,,,,,,,,,4.773308689270205,5.331318447979604,15.679824782995292,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,1026.0,16.0,89.0,1866.0,0.1,39.809000000000026,0.0,0.0,254.4178490638733,,,,,,,,,,,,,,,,,,,,,11.517465910611701,12.264502223110155,38.861629932189985,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1056.0,17.0,30.0,1896.0,0.1,14.605999999999995,0.0,0.0,257.7319312095642,,,,,,,,,,,,,,,,,,,,,4.526846200680931,4.98353255297366,14.499178471744592,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1087.0,18.0,31.0,1927.0,0.1,13.805999999999994,0.0,0.0,260.9313566684723,,,,,,,,,,,,,,,,,,,,,4.037910225958359,4.630848852492641,13.708227529827418,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1126.0,19.0,39.0,1966.0,0.1,17.50600000000002,0.0,0.0,264.7328894138336,,,,,,,,,,,,,,,,,,,,,5.209573047552307,5.655075017438628,17.337484282225635,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1201.0,20.0,75.0,2041.0,0.1,58.205999999999996,0.0,0.0,271.64537501335144,,,,,,,,,,,,,,,,,,,,,23.432121661554177,18.837296151942116,56.561657628983774,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,60.0,1.0,60.0,2101.0,0.1,26.209000000000035,0.0,0.0,380.99757266044617,,,,,,,,,,,,,,,,,,,,,7.356725216004628,8.13089327990205,25.81920908600264,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,134.0,2.0,74.0,2175.0,0.1,29.405000000000054,0.0,0.0,388.12867188453674,,,,,,,,,,,,,,,,,,,,,11.263403293138202,7.438233070038122,28.628737001573924,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,221.0,3.0,87.0,2262.0,0.1,52.10500000000002,0.0,0.0,396.05846309661865,,,,,,,,,,,,,,,,,,,,,19.62690374609978,14.993982129349027,50.49840568705774,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,293.0,4.0,72.0,2334.0,0.1,46.105,0.0,0.0,402.670658826828,,,,,,,,,,,,,,,,,,,,,18.622905632878624,14.067047772343098,44.85381356775465,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,362.0,5.0,69.0,2403.0,0.1,51.206999999999994,0.0,0.0,409.0375039577484,,,,,,,,,,,,,,,,,,,,,19.924426812307658,16.798206737433517,49.93202867527265,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,433.0,6.0,71.0,2474.0,0.1,27.22000000000005,0.0,0.0,415.82448077201843,,,,,,,,,,,,,,,,,,,,,6.4851443802062185,8.32530192106787,26.813154244339792,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,460.0,7.0,27.0,2501.0,0.1,12.605999999999995,0.0,0.0,418.5682306289673,,,,,,,,,,,,,,,,,,,,,3.805888123068875,4.361773895685052,12.528285062517114,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,649.0,8.0,189.0,2690.0,0.1,117.90699999999998,0.0,0.0,435.2905423641205,,,,,,,,,,,,,,,,,,,,,52.822329103995,32.210399956281826,108.13975116191762,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,683.0,9.0,34.0,2724.0,0.1,14.806999999999993,0.0,0.0,438.6401391029358,,,,,,,,,,,,,,,,,,,,,4.268364096699396,4.887859188332292,14.69124341630141,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,722.0,10.0,39.0,2763.0,0.1,21.20700000000002,0.0,0.0,442.4193642139435,,,,,,,,,,,,,,,,,,,,,6.807422574567845,7.176204520105254,20.983456449033476,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,797.0,11.0,75.0,2838.0,0.1,55.80799999999999,0.0,0.0,449.63173604011536,,,,,,,,,,,,,,,,,,,,,21.602407065618685,18.273902712947542,54.29635788949971,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,838.0,12.0,41.0,2879.0,0.1,22.706000000000017,0.0,0.0,453.6168613433838,,,,,,,,,,,,,,,,,,,,,7.499606117957979,7.56311976646762,22.44338046671669,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,883.0,13.0,45.0,2924.0,0.1,17.80900000000003,0.0,0.0,457.9239206314087,,,,,,,,,,,,,,,,,,,,,4.747627503630048,5.606192129840437,17.630600332401123,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,922.0,14.0,39.0,2963.0,0.1,17.00600000000002,0.0,0.0,461.7728519439697,,,,,,,,,,,,,,,,,,,,,5.056570233375498,5.450594732476015,16.84246184212076,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1015.0,15.0,93.0,3056.0,0.1,38.50700000000004,0.0,0.0,470.2092056274414,,,,,,,,,,,,,,,,,,,,,11.809058641737142,10.41057536238477,37.48368743750604,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1054.0,16.0,39.0,3095.0,0.1,16.707000000000015,0.0,0.0,474.31267952919006,,,,,,,,,,,,,,,,,,,,,4.622948200290628,5.43198518294528,16.55980807653366,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1105.0,17.0,51.0,3146.0,0.1,23.80700000000002,0.0,0.0,479.12369441986084,,,,,,,,,,,,,,,,,,,,,7.825482155360432,7.376124331826336,23.45478652834678,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1184.0,18.0,79.0,3225.0,0.1,43.706,0.0,0.0,486.3101484775543,,,,,,,,,,,,,,,,,,,,,16.565483555078558,12.554668693936623,42.48224881452907,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1248.0,19.0,64.0,3289.0,0.1,34.509,0.0,0.0,492.2728064060211,,,,,,,,,,,,,,,,,,,,,10.558589406115988,11.222508403445028,33.90101841381781,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1304.0,20.0,56.0,3345.0,0.1,30.30900000000003,0.0,0.0,497.76990032196045,,,,,,,,,,,,,,,,,,,,,9.28562449187137,10.026034100858874,29.84867252483235,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,62.0,1.0,62.0,3407.0,0.1,43.806999999999995,0.0,0.0,784.3937613964081,,,,,,,,,,,,,,,,,,,,,16.449030301233652,14.554302871997807,42.87286297440937,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,218.0,2.0,156.0,3563.0,0.1,101.809,0.0,0.0,798.524719953537,,,,,,,,,,,,,,,,,,,,,44.327025908913754,29.262682011194922,95.08405698812874,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,333.0,3.0,115.0,3678.0,0.1,85.505,0.0,0.0,808.837884426117,,,,,,,,,,,,,,,,,,,,,36.275625646351784,25.785746019716914,81.49621398242041,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
